lambda=0.5,T=600000,Single_Price=True,Alg.Cx=1,Alg.Cy=0.005,Alg.Cz=4,soft_constraint=True,,,,,,,,,
98,0.5,1.147700271,1.647700271,19417.26672,58893.9769,113014.2922,1.285714286,1.714285714,1.470291451,1.470291451,1.411764706,1.411764706,0.5,0.428571429,0
99,0.5,1.147700271,1.647700271,20914.03231,59666.54922,122737.4033,1.214285714,1.642857143,1.476214279,1.476214279,1.509803922,1.509803922,0.5,0.428571429,0
100,0.5,1.147700271,1.647700271,18959.75982,49742.84111,105557.8434,1.214285714,1.642857143,1.36330326,1.36330326,1.431372549,1.431372549,0.5,0.428571429,0
101,0.5,1.147700271,1.647700271,21685.93419,53529.123,111088.5296,1.357142857,1.785714286,1.400242632,1.400242632,1.450980392,1.450980392,0.5,0.428571429,0
102,0.5,1.147700271,1.647700271,18967.75789,63221.26584,144906.5905,1.285714286,1.642857143,1.516601202,1.516601202,1.68627451,1.68627451,0.5,0.357142857,0
103,0.5,1.147700271,1.647700271,23429.42092,40914.15566,155682.4136,1.142857143,1.5,1.228253597,1.228253597,1.960784314,1.960784314,0.5,0.357142857,0
104,0.5,1.147700271,1.647700271,24198.44024,44804.22235,154642.4479,1.214285714,1.714285714,1.292219118,1.292219118,1.921568627,1.921568627,0.5,0.5,0
105,0.5,1.147700271,1.647700271,23175.64794,72314.53993,145386.7049,1.214285714,1.714285714,1.601102786,1.601102786,1.607843137,1.607843137,0.5,0.5,0
106,0.5,1.147700271,1.647700271,29286.49589,89904.40222,152975.2563,1.214285714,1.785714286,1.763938809,1.763938809,1.509803922,1.509803922,0.5,0.571428571,0
107,0.5,1.147700271,1.647700271,18063.33245,38059.87071,150356.8556,1.214285714,1.642857143,1.167652909,1.167652909,1.941176471,1.941176471,0.5,0.428571429,0
108,0.5,1.147700271,1.647700271,42810.63313,78291.4733,127647.3231,1.071428571,1.571428571,1.654255036,1.654255036,1.352941176,1.352941176,0.5,0.5,0
109,0.5,1.147700271,1.647700271,26627.75308,54176.97817,133664.2312,1.428571429,1.714285714,1.414418475,1.414418475,1.666666667,1.666666667,0.5,0.285714286,0
110,0.5,1.147700271,1.647700271,23802.45545,53374.13426,139536.5813,1.214285714,1.714285714,1.410072113,1.410072113,1.725490196,1.725490196,0.5,0.5,0
111,0.5,1.147700271,1.647700271,18297.58152,94677.20454,145565.7513,1.285714286,1.785714286,1.798750682,1.798750682,1.37254902,1.37254902,0.5,0.5,0
112,0.5,1.147700271,1.647700271,18489.72959,64996.54116,104403.5991,1.214285714,1.571428571,1.52897498,1.52897498,1.196078431,1.196078431,0.5,0.357142857,0
113,0.5,1.147700271,1.647700271,20698.16504,75789.35077,131604.353,1.357142857,1.785714286,1.641591269,1.641591269,1.431372549,1.431372549,0.5,0.428571429,0
114,0.5,1.147700271,1.647700271,22305.01439,69352.61065,153263.4588,1.357142857,1.714285714,1.577117053,1.577117053,1.705882353,1.705882353,0.5,0.357142857,0
115,0.5,1.147700271,1.647700271,22825.61476,40611.71175,124522.5599,1.285714286,1.571428571,1.221610179,1.221610179,1.705882353,1.705882353,0.5,0.285714286,0
116,0.5,1.147700271,1.647700271,39261.35408,56689.67866,95181.45323,1.071428571,1.5,1.446913384,1.446913384,1.176470588,1.176470588,0.5,0.428571429,0
117,0.5,1.147700271,1.647700271,27683.76019,51581.37849,118539.3346,1.357142857,2,1.382974961,1.382974961,1.549019608,1.549019608,0.5,0.642857143,0
118,0.5,1.147700271,1.647700271,22171.99384,78492.24546,171552.7963,1.285714286,1.642857143,1.655546099,1.655546099,1.784313725,1.784313725,0.5,0.357142857,0
119,0.5,1.147700271,1.647700271,30804.06584,37813.88487,104771.841,1.285714286,1.928571429,1.161214759,1.161214759,1.549019608,1.549019608,0.5,0.642857143,0
120,0.5,1.147700271,1.647700271,24048.05599,71057.00721,168823.2644,1.357142857,1.714285714,1.596492705,1.596492705,1.823529412,1.823529412,0.5,0.357142857,0
121,0.5,1.147700271,1.647700271,21024.107,38198.69037,94013.69262,1.214285714,1.5,1.169438354,1.169438354,1.431372549,1.431372549,0.5,0.285714286,0
122,0.5,1.147700271,1.647700271,23633.50752,65639.53165,123198.9382,1.285714286,1.857142857,1.541884637,1.541884637,1.450980392,1.450980392,0.5,0.571428571,0
123,0.5,1.147700271,1.647700271,21459.47251,47960.57969,91794.47989,1.357142857,1.714285714,1.339589311,1.339589311,1.274509804,1.274509804,0.5,0.357142857,0
124,0.5,1.147700271,1.647700271,23281.91685,61562.70163,154623.2525,1.214285714,1.428571429,1.497211502,1.497211502,1.784313725,1.784313725,0.5,0.214285714,0
125,0.5,1.147700271,1.647700271,32598.99031,53698.59172,109513.594,1.142857143,1.642857143,1.40708478,1.40708478,1.431372549,1.431372549,0.5,0.5,0
126,0.5,1.147700271,1.647700271,18846.08447,45693.30027,84185.07484,1.285714286,1.714285714,1.301172069,1.301172069,1.176470588,1.176470588,0.5,0.428571429,0
127,0.5,1.147700271,1.647700271,24737.83812,55968.78207,108446.2255,1.428571429,1.857142857,1.435029872,1.435029872,1.392156863,1.392156863,0.5,0.428571429,0
128,0.5,1.147700271,1.647700271,29376.04273,56611.99201,100445.8922,1.285714286,1.928571429,1.443664648,1.443664648,1.274509804,1.274509804,0.5,0.642857143,0
129,0.5,1.147700271,1.647700271,18989.4948,62688.53644,112044.3862,1.285714286,1.785714286,1.51059744,1.51059744,1.352941176,1.352941176,0.5,0.5,0
