lambda=0.5,T=600000,Single_Price=True,Alg.Cx=1,Alg.Cy=0.005,Alg.Cz=4,soft_constraint=True,,,,,,,,,
332,0.5,1.147700271,1.647700271,20485.30253,66113.07262,145600.3256,1.214285714,1.642857143,1.54508008,1.54508008,1.666666667,1.666666667,0.5,0.428571429,0
333,0.5,1.147700271,1.647700271,23036.41168,57890.08743,126850.009,1.142857143,1.357142857,1.456562633,1.456562633,1.568627451,1.568627451,0.5,0.214285714,0
334,0.5,1.147700271,1.647700271,30582.07696,44897.38665,133336.1731,1.142857143,1.642857143,1.295079714,1.295079714,1.745098039,1.745098039,0.5,0.5,0
335,0.5,1.147700271,1.647700271,18663.08706,56424.63537,101542.8398,1.214285714,1.571428571,1.441146007,1.441146007,1.294117647,1.294117647,0.5,0.357142857,0
336,0.5,1.147700271,1.647700271,19556.56857,59808.81742,113929.1328,1.214285714,1.642857143,1.474800346,1.474800346,1.411764706,1.411764706,0.5,0.428571429,0
337,0.5,1.147700271,1.647700271,26543.73987,59332.74679,152393.2976,1.142857143,1.571428571,1.473512102,1.473512102,1.784313725,1.784313725,0.5,0.428571429,0
338,0.5,1.147700271,1.647700271,18971.624,41178.7096,148571.6332,1.285714286,1.785714286,1.234261433,1.234261433,1.901960784,1.901960784,0.5,0.5,0
339,0.5,1.147700271,1.647700271,23862.08114,58974.19089,111451.6343,1.285714286,1.857142857,1.46953023,1.46953023,1.392156863,1.392156863,0.5,0.571428571,0
340,0.5,1.147700271,1.647700271,37024.37677,56428.31454,140339.1627,1.214285714,1.857142857,1.441771541,1.441771541,1.705882353,1.705882353,0.5,0.642857143,0
341,0.5,1.147700271,1.647700271,21743.75849,75838.80486,117311.7949,1.142857143,1.428571429,1.642128141,1.642128141,1.235294118,1.235294118,0.5,0.285714286,0
342,0.5,1.147700271,1.647700271,42542.23488,52231.36734,119189.3234,1.071428571,1.571428571,1.387250353,1.387250353,1.549019608,1.549019608,0.5,0.5,0
343,0.5,1.147700271,1.647700271,24845.78249,45499.77111,136238.3437,1.214285714,1.714285714,1.298031355,1.298031355,1.764705882,1.764705882,0.5,0.5,0
344,0.5,1.147700271,1.647700271,18145.58725,59563.63287,130562.1749,1.214285714,1.571428571,1.477953325,1.477953325,1.588235294,1.588235294,0.5,0.357142857,0
345,0.5,1.147700271,1.647700271,23466.91622,54566.84196,103922.6917,1.214285714,1.714285714,1.413714565,1.413714565,1.352941176,1.352941176,0.5,0.5,0
346,0.5,1.147700271,1.647700271,18703.50813,46723.03528,109793.8893,1.285714286,1.642857143,1.320693437,1.320693437,1.509803922,1.509803922,0.5,0.357142857,0
347,0.5,1.147700271,1.647700271,42810.63313,59302.09703,154705.6023,1.071428571,1.571428571,1.466639508,1.466639508,1.803921569,1.803921569,0.5,0.5,0
348,0.5,1.147700271,1.647700271,35627.91985,47281.99744,108471.2782,1.214285714,1.857142857,1.330452116,1.330452116,1.490196078,1.490196078,0.5,0.642857143,0
349,0.5,1.147700271,1.647700271,40852.31022,37987.33379,115305.3864,1.071428571,1.571428571,1.152320629,1.152320629,1.647058824,1.647058824,0.5,0.5,0
350,0.5,1.147700271,1.647700271,18489.72959,37815.85212,91936.16747,1.214285714,1.571428571,1.161375012,1.161375012,1.411764706,1.411764706,0.5,0.357142857,0
351,0.5,1.147700271,1.647700271,17958.91497,59077.06005,181325.2295,1.285714286,1.714285714,1.470358155,1.470358155,2.019607843,2.019607843,0.5,0.428571429,0
352,0.5,1.147700271,1.647700271,35339.63146,38268.86236,155519.9936,1.285714286,2,1.172081886,1.172081886,1.980392157,1.980392157,0.5,0.714285714,0
353,0.5,1.147700271,1.647700271,29920.44543,44459.7154,93945.46362,1.285714286,1.928571429,1.283580573,1.283580573,1.039215686,1.039215686,0.5,0.642857143,0
354,0.5,1.147700271,1.647700271,26691.48543,51313.79504,90720.85294,1.142857143,1.571428571,1.38333751,1.38333751,1.196078431,1.196078431,0.5,0.428571429,0
355,0.5,1.147700271,1.647700271,30173.70464,63175.58875,124364.8695,1.285714286,1.928571429,1.513038812,1.513038812,1.490196078,1.490196078,0.5,0.642857143,0
356,0.5,1.147700271,1.647700271,27102.95926,52072.20762,92473.96644,1.214285714,1.714285714,1.392619189,1.392619189,1.215686275,1.215686275,0.5,0.5,0
357,0.5,1.147700271,1.647700271,28108.95868,48340.70126,165591.8325,1.142857143,1.357142857,1.340217687,1.340217687,1.980392157,1.980392157,0.5,0.214285714,0
358,0.5,1.147700271,1.647700271,20359.28393,68427.86902,154590.316,1.285714286,1.642857143,1.569125159,1.569125159,1.725490196,1.725490196,0.5,0.357142857,0
359,0.5,1.147700271,1.647700271,32052.23771,46777.6628,126264.9158,1.214285714,1.785714286,1.324252018,1.324252018,1.666666667,1.666666667,0.5,0.571428571,0
360,0.5,1.147700271,1.647700271,35154.56215,37936.38139,106896.303,1.071428571,1.428571429,1.153167875,1.153167875,1.568627451,1.568627451,0.5,0.357142857,0
361,0.5,1.147700271,1.647700271,19208.15864,44126.18615,95014.73287,1.285714286,1.642857143,1.281380067,1.281380067,1.37254902,1.37254902,0.5,0.357142857,0
362,0.5,1.147700271,1.647700271,53125.4854,44885.9829,142652.2401,1,1.5,1.295728187,1.295728187,1.823529412,1.823529412,0.5,0.5,0
363,0.5,1.147700271,1.647700271,16436.01293,46071.61318,96960.15991,1.285714286,1.642857143,1.308534878,1.308534878,1.37254902,1.37254902,0.5,0.357142857,0
364,0.5,1.147700271,1.647700271,38151.09259,58620.35059,103738.555,1.071428571,1.5,1.459839366,1.459839366,1.294117647,1.294117647,0.5,0.428571429,0
365,0.5,1.147700271,1.647700271,21461.71011,46952.59872,144718.8559,1.214285714,1.5,1.321789949,1.321789949,1.823529412,1.823529412,0.5,0.285714286,0
366,0.5,1.147700271,1.647700271,17896.46649,51987.07589,89645.95589,1.285714286,1.714285714,1.388507904,1.388507904,1.156862745,1.156862745,0.5,0.428571429,0
367,0.5,1.147700271,1.647700271,18663.08706,60015.08817,146177.5352,1.214285714,1.571428571,1.480656795,1.480656795,1.725490196,1.725490196,0.5,0.357142857,0
368,0.5,1.147700271,1.647700271,30683.61965,52047.82169,157009.8749,1.214285714,1.785714286,1.388187112,1.388187112,1.882352941,1.882352941,0.5,0.571428571,0
369,0.5,1.147700271,1.647700271,21797.37982,56148.3707,125108.2923,1.357142857,1.714285714,1.437712197,1.437712197,1.568627451,1.568627451,0.5,0.357142857,0
370,0.5,1.147700271,1.647700271,28220.68537,41644.17983,104715.0339,1.428571429,1.642857143,1.240917324,1.240917324,1.509803922,1.509803922,0.5,0.214285714,0
371,0.5,1.147700271,1.647700271,22433.83588,40995.16415,136398.6694,1.285714286,1.571428571,1.22976297,1.22976297,1.803921569,1.803921569,0.5,0.285714286,0
372,0.5,1.147700271,1.647700271,21545.10551,49806.77494,92424.72081,1.214285714,1.5,1.361468068,1.361468068,1.254901961,1.254901961,0.5,0.285714286,0
373,0.5,1.147700271,1.647700271,18239.43193,39854.91858,92332.36203,1.214285714,1.642857143,1.12775248,1.12775248,1.392156863,1.392156863,0.5,0.428571429,0
374,0.5,1.147700271,1.647700271,36472.27509,41297.15098,134357.7018,1.142857143,1.714285714,1.235331316,1.235331316,1.784313725,1.784313725,0.5,0.571428571,0
375,0.5,1.147700271,1.647700271,35439.47641,73051.72192,125529.1654,1.214285714,1.857142857,1.60191012,1.60191012,1.392156863,1.392156863,0.5,0.642857143,0
376,0.5,1.147700271,1.647700271,21916.19662,58457.79299,119647.0738,1.357142857,1.714285714,1.466440349,1.466440349,1.490196078,1.490196078,0.5,0.357142857,0
377,0.5,1.147700271,1.647700271,21233.13544,74096.56963,121978.2127,1.285714286,1.785714286,1.622122395,1.622122395,1.333333333,1.333333333,0.5,0.5,0
378,0.5,1.147700271,1.647700271,24096.73334,47622.21002,110693.0641,1.285714286,1.857142857,1.331303488,1.331303488,1.509803922,1.509803922,0.5,0.571428571,0
379,0.5,1.147700271,1.647700271,28211.26249,55687.61577,158234.2364,1.142857143,1.571428571,1.425169572,1.425169572,1.862745098,1.862745098,0.5,0.428571429,0
380,0.5,1.147700271,1.647700271,36106.98537,51318.48257,91720.2414,1.214285714,1.857142857,1.383071176,1.383071176,1.215686275,1.215686275,0.5,0.642857143,0
381,0.5,1.147700271,1.647700271,18695.63054,50194.80788,131880.1326,1.214285714,1.642857143,1.368097695,1.368097695,1.68627451,1.68627451,0.5,0.428571429,0
382,0.5,1.147700271,1.647700271,32972.26715,43029.65243,157797.9104,1.142857143,1.642857143,1.262406195,1.262406195,1.960784314,1.960784314,0.5,0.5,0
383,0.5,1.147700271,1.647700271,21168.80659,49840.31862,114834.6672,1.357142857,1.714285714,1.359732383,1.359732383,1.529411765,1.529411765,0.5,0.357142857,0
384,0.5,1.147700271,1.647700271,29698.3736,44635.5555,91103.84077,1.285714286,1.928571429,1.291569968,1.291569968,1.31372549,1.31372549,0.5,0.642857143,0
385,0.5,1.147700271,1.647700271,34246.89517,62982.13653,106816.0367,1.142857143,1.642857143,1.508473971,1.508473971,1.274509804,1.274509804,0.5,0.5,0
386,0.5,1.147700271,1.647700271,48662.0656,73007.23101,136078.0851,1,1.428571429,1.606179767,1.606179767,1.509803922,1.509803922,0.5,0.428571429,0
387,0.5,1.147700271,1.647700271,38105.0503,70870.58066,171018.2452,1.142857143,1.714285714,1.586135981,1.586135981,1.843137255,1.843137255,0.5,0.571428571,0
388,0.5,1.147700271,1.647700271,27980.35249,45282.6389,112240.595,1.142857143,1.571428571,1.295744381,1.295744381,1.549019608,1.549019608,0.5,0.428571429,0
389,0.5,1.147700271,1.647700271,21671.99149,68883.08376,108290.1417,1.357142857,1.785714286,1.565627774,1.565627774,1.196078431,1.196078431,0.5,0.428571429,0
390,0.5,1.147700271,1.647700271,22854.80818,60846.66149,123917.5155,1.214285714,1.714285714,1.488764701,1.488764701,1.509803922,1.509803922,0.5,0.5,0
391,0.5,1.147700271,1.647700271,20411.52491,45051.85547,135790.4281,1.285714286,1.571428571,1.296677681,1.296677681,1.764705882,1.764705882,0.5,0.285714286,0
392,0.5,1.147700271,1.647700271,46742.76323,47237.11256,93705.39784,1.071428571,1.642857143,1.329257547,1.329257547,1.31372549,1.31372549,0.5,0.571428571,0
393,0.5,1.147700271,1.647700271,21385.02865,78268.19915,124736.4844,1.357142857,1.928571429,1.657919406,1.657919406,1.31372549,1.31372549,0.5,0.571428571,0
394,0.5,1.147700271,1.647700271,26931.75389,41943.62447,101295.1163,1.142857143,1.571428571,1.248791447,1.248791447,1.470588235,1.470588235,0.5,0.428571429,0
395,0.5,1.147700271,1.647700271,28179.72748,49222.22965,114216.5782,1.428571429,1.642857143,1.356531936,1.356531936,1.529411765,1.529411765,0.5,0.214285714,0
396,0.5,1.147700271,1.647700271,36927.00848,68182.35993,175575.2835,1.214285714,1.857142857,1.561509842,1.561509842,1.901960784,1.901960784,0.5,0.642857143,0
397,0.5,1.147700271,1.647700271,38468.72629,56765.1225,142927.5695,1.142857143,1.714285714,1.446112457,1.446112457,1.725490196,1.725490196,0.5,0.571428571,0
398,0.5,1.147700271,1.647700271,36572.24773,50427.90381,115422.2524,1.214285714,1.857142857,1.367669658,1.367669658,1.529411765,1.529411765,0.5,0.642857143,0
399,0.5,1.147700271,1.647700271,24093.75832,58877.07672,151937.6276,1.142857143,1.5,1.463355986,1.463355986,1.784313725,1.784313725,0.5,0.357142857,0
400,0.5,1.147700271,1.647700271,19379.75457,56229.5064,96631.26523,1.285714286,1.785714286,1.441265973,1.441265973,1.215686275,1.215686275,0.5,0.5,0
401,0.5,1.147700271,1.647700271,31443.03832,57621.95587,157769.6204,1.214285714,1.785714286,1.456575603,1.456575603,1.843137255,1.843137255,0.5,0.571428571,0
402,0.5,1.147700271,1.647700271,36572.24773,48011.52062,145777.7778,1.214285714,1.857142857,1.337242003,1.337242003,1.823529412,1.823529412,0.5,0.642857143,0
403,0.5,1.147700271,1.647700271,29796.42355,56871.25173,121865.6003,1.214285714,1.785714286,1.447389457,1.447389457,1.529411765,1.529411765,0.5,0.571428571,0
404,0.5,1.147700271,1.647700271,21311.15742,46287.40691,102102.4092,1.357142857,1.785714286,1.31640801,1.31640801,1.431372549,1.431372549,0.5,0.428571429,0
405,0.5,1.147700271,1.647700271,30234.8193,75928.11363,188225.0985,1.142857143,1.642857143,1.630388928,1.630388928,1.941176471,1.941176471,0.5,0.5,0
406,0.5,1.147700271,1.647700271,28607.72423,57637.46583,141548.314,1.071428571,1.285714286,1.449464882,1.449464882,1.705882353,1.705882353,0.5,0.214285714,0
407,0.5,1.147700271,1.647700271,22496.54033,59820.19421,150558.7668,1.357142857,1.785714286,1.481598754,1.481598754,1.764705882,1.764705882,0.5,0.428571429,0
408,0.5,1.147700271,1.647700271,18846.08447,47603.69881,120675.8638,1.285714286,1.714285714,1.330588437,1.330588437,1.607843137,1.607843137,0.5,0.428571429,0
409,0.5,1.147700271,1.647700271,49722.19154,47117.11079,120189.2757,1.142857143,1.857142857,1.322710584,1.322710584,1.607843137,1.607843137,0.5,0.714285714,0
410,0.5,1.147700271,1.647700271,21235.83592,42918.95004,150311.8736,1.285714286,1.571428571,1.257763392,1.257763392,1.901960784,1.901960784,0.5,0.285714286,0
411,0.5,1.147700271,1.647700271,33143.14477,45255.3748,106444.6556,1.142857143,1.642857143,1.297960282,1.297960282,1.490196078,1.490196078,0.5,0.5,0
412,0.5,1.147700271,1.647700271,25431.29349,41231.53153,93315.29345,1.142857143,1.5,1.234067693,1.234067693,1.019607843,1.019607843,0.5,0.357142857,0
413,0.5,1.147700271,1.647700271,17774.16001,64911.29754,144398.5506,1.285714286,1.642857143,1.533508814,1.533508814,1.666666667,1.666666667,0.5,0.357142857,0
414,0.5,1.147700271,1.647700271,30534.11071,65932.64984,129003.5039,1.214285714,1.785714286,1.54346355,1.54346355,1.509803922,1.509803922,0.5,0.571428571,0
415,0.5,1.147700271,1.647700271,18447.41625,64332.65168,121892.0583,1.285714286,1.785714286,1.521799552,1.521799552,1.450980392,1.450980392,0.5,0.5,0
416,0.5,1.147700271,1.647700271,37871.39913,68005.68554,118894.2323,1.142857143,1.714285714,1.564726713,1.564726713,1.37254902,1.37254902,0.5,0.571428571,0
417,0.5,1.147700271,1.647700271,16081.16289,73002.50282,134191.7836,1.214285714,1.571428571,1.605588786,1.605588786,1.490196078,1.490196078,0.5,0.357142857,0
418,0.5,1.147700271,1.647700271,17709.68909,41492.78237,144039.403,1.285714286,1.785714286,1.238063727,1.238063727,1.862745098,1.862745098,0.5,0.5,0
419,0.5,1.147700271,1.647700271,24560.41677,40971.4772,118289.5298,1.285714286,1.571428571,1.228024927,1.228024927,1.647058824,1.647058824,0.5,0.285714286,0
420,0.5,1.147700271,1.647700271,19057.05516,50090.81567,138529.6022,1.285714286,1.642857143,1.364855919,1.364855919,1.745098039,1.745098039,0.5,0.357142857,0
421,0.5,1.147700271,1.647700271,18765.27532,38432.42231,86314.06541,1.214285714,1.5,1.174263341,1.174263341,1.333333333,1.333333333,0.5,0.285714286,0
422,0.5,1.147700271,1.647700271,47883.98826,38418.78476,150715.7697,1.071428571,1.642857143,1.174947792,1.174947792,1.941176471,1.941176471,0.5,0.571428571,0
423,0.5,1.147700271,1.647700271,25690.81283,44268.83488,89387.03928,1.428571429,1.785714286,1.283121759,1.283121759,1.294117647,1.294117647,0.5,0.357142857,0
424,0.5,1.147700271,1.647700271,19725.27708,55082.39919,112641.8058,1.285714286,1.785714286,1.422684173,1.422684173,1.450980392,1.450980392,0.5,0.5,0
425,0.5,1.147700271,1.647700271,31242.38152,42547.23294,81954.29084,1.071428571,1.357142857,1.256407908,1.256407908,1.196078431,1.196078431,0.5,0.285714286,0
426,0.5,1.147700271,1.647700271,20133.40765,41441.88713,80848.94503,1.285714286,1.785714286,1.239027461,1.239027461,1.196078431,1.196078431,0.5,0.5,0
427,0.5,1.147700271,1.647700271,43907.39404,70202.13244,154112.9806,1.142857143,1.785714286,1.574011407,1.574011407,1.705882353,1.705882353,0.5,0.642857143,0
428,0.5,1.147700271,1.647700271,45829.35824,68399.60059,111190.8971,1.571428571,1.785714286,1.566712069,1.566712069,1.098039216,1.098039216,0.5,0.214285714,0
429,0.5,1.147700271,1.647700271,29796.42355,55731.86999,139642.7181,1.214285714,1.785714286,1.435089954,1.435089954,1.705882353,1.705882353,0.5,0.571428571,0
430,0.5,1.147700271,1.647700271,19606.73714,69353.11905,144532.306,1.214285714,1.642857143,1.577222763,1.577222763,1.62745098,1.62745098,0.5,0.428571429,0
431,0.5,1.147700271,1.647700271,22679.85047,76052.86262,164491.6491,1.357142857,1.714285714,1.636928468,1.636928468,1.745098039,1.745098039,0.5,0.357142857,0
432,0.5,1.147700271,1.647700271,17203.54983,62359.55877,107477.7632,1.285714286,1.714285714,1.506843823,1.506843823,1.294117647,1.294117647,0.5,0.428571429,0
433,0.5,1.147700271,1.647700271,18359.26768,87432.32563,143247.3279,1.214285714,1.642857143,1.740642331,1.740642331,1.431372549,1.431372549,0.5,0.428571429,0
434,0.5,1.147700271,1.647700271,17476.50045,44288.67593,85197.25209,1.214285714,1.571428571,1.285204518,1.285204518,1.117647059,1.117647059,0.5,0.357142857,0
435,0.5,1.147700271,1.647700271,32302.06354,48386.95651,93505.16091,1.142857143,1.642857143,1.343770901,1.343770901,1.294117647,1.294117647,0.5,0.5,0
436,0.5,1.147700271,1.647700271,36572.24773,40361.68305,128800.4696,1.214285714,1.857142857,1.215741982,1.215741982,1.745098039,1.745098039,0.5,0.642857143,0
437,0.5,1.147700271,1.647700271,22812.53513,43048.80982,92404.65957,1.214285714,1.714285714,1.262570536,1.262570536,1.352941176,1.352941176,0.5,0.5,0
438,0.5,1.147700271,1.647700271,18299.81023,68586.83786,115055.1231,1.285714286,1.785714286,1.563701468,1.563701468,1.31372549,1.31372549,0.5,0.5,0
439,0.5,1.147700271,1.647700271,22448.67158,62596.52928,139914.5819,1.142857143,1.428571429,1.508727256,1.508727256,1.647058824,1.647058824,0.5,0.285714286,0
440,0.5,1.147700271,1.647700271,19003.9381,46449.55064,87358.1268,1.285714286,1.785714286,1.318570423,1.318570423,1.117647059,1.117647059,0.5,0.5,0
441,0.5,1.147700271,1.647700271,21025.97146,48203.47761,134365.9246,1.285714286,1.642857143,1.336544298,1.336544298,1.725490196,1.725490196,0.5,0.357142857,0
442,0.5,1.147700271,1.647700271,21658.45282,70367.94312,112985.889,1.214285714,1.642857143,1.580312013,1.580312013,1.254901961,1.254901961,0.5,0.428571429,0
443,0.5,1.147700271,1.647700271,31282.84267,42329.55481,96449.87016,1.142857143,1.642857143,1.249246202,1.249246202,1.411764706,1.411764706,0.5,0.5,0
444,0.5,1.147700271,1.647700271,44789.75255,62713.70043,118528.7027,1.142857143,1.785714286,1.502773619,1.502773619,1.431372549,1.431372549,0.5,0.642857143,0
445,0.5,1.147700271,1.647700271,21162.06619,47355.56046,91189.46066,1.357142857,1.714285714,1.33053068,1.33053068,1.274509804,1.274509804,0.5,0.357142857,0
446,0.5,1.147700271,1.647700271,18430.24264,43652.22271,106723.0768,1.285714286,1.714285714,1.27314178,1.27314178,1.509803922,1.509803922,0.5,0.428571429,0
447,0.5,1.147700271,1.647700271,17250.84634,48448.8423,86940.61687,1.285714286,1.714285714,1.345540518,1.345540518,1.176470588,1.176470588,0.5,0.428571429,0
448,0.5,1.147700271,1.647700271,29260.56738,39580.75995,116898.8126,1.142857143,1.571428571,1.201670204,1.201670204,1.647058824,1.647058824,0.5,0.428571429,0
449,0.5,1.147700271,1.647700271,18986.74305,55965.13681,156112.8013,1.285714286,1.785714286,1.428757069,1.428757069,1.843137255,1.843137255,0.5,0.5,0
450,0.5,1.147700271,1.647700271,21495.00515,44343.54271,156640.5276,1.357142857,1.714285714,1.284620745,1.284620745,1.941176471,1.941176471,0.5,0.357142857,0
451,0.5,1.147700271,1.647700271,20187.43797,47712.28256,92830.48696,1.214285714,1.642857143,1.331826043,1.331826043,1.294117647,1.294117647,0.5,0.428571429,0
452,0.5,1.147700271,1.647700271,20154.06818,50083.16108,100971.7078,1.285714286,1.714285714,1.36484316,1.36484316,1.37254902,1.37254902,0.5,0.428571429,0
453,0.5,1.147700271,1.647700271,47781.75218,41848.61941,114920.7844,1.071428571,1.642857143,1.24388387,1.24388387,1.607843137,1.607843137,0.5,0.571428571,0
454,0.5,1.147700271,1.647700271,18575.79479,46821.26017,117819.8022,1.214285714,1.642857143,1.320296456,1.320296456,1.588235294,1.588235294,0.5,0.428571429,0
455,0.5,1.147700271,1.647700271,41766.13003,46733.50328,156571.7289,1.071428571,1.571428571,1.317110448,1.317110448,1.921568627,1.921568627,0.5,0.5,0
456,0.5,1.147700271,1.647700271,34772.23347,44391.30756,87009.25342,1.071428571,1.428571429,1.281144895,1.281144895,1.254901961,1.254901961,0.5,0.357142857,0
457,0.5,1.147700271,1.647700271,19728.74694,66549.54073,113017.826,1.285714286,1.642857143,1.551705378,1.551705378,1.31372549,1.31372549,0.5,0.357142857,0
458,0.5,1.147700271,1.647700271,20798.53396,42303.91311,135364.464,1.214285714,1.642857143,1.251435312,1.251435312,1.784313725,1.784313725,0.5,0.428571429,0
459,0.5,1.147700271,1.647700271,30077.98496,61415.47329,99074.3533,1.142857143,1.642857143,1.499194015,1.499194015,1.156862745,1.156862745,0.5,0.5,0
460,0.5,1.147700271,1.647700271,26059.84401,59745.83331,120935.1141,1.142857143,1.571428571,1.473095481,1.473095481,1.490196078,1.490196078,0.5,0.428571429,0
461,0.5,1.147700271,1.647700271,16872.77498,66560.93234,183812.0636,1.214285714,1.571428571,1.546449106,1.546449106,1.980392157,1.980392157,0.5,0.357142857,0
462,0.5,1.147700271,1.647700271,18127.36249,56060.25074,98678.19661,1.285714286,1.642857143,1.434381466,1.434381466,1.254901961,1.254901961,0.5,0.357142857,0
463,0.5,1.147700271,1.647700271,17994.31308,40388.21019,84222.11039,1.285714286,1.785714286,1.121208021,1.121208021,1.274509804,1.274509804,0.5,0.5,0
464,0.5,1.147700271,1.647700271,20436.06305,57174.20594,95665.98051,1.214285714,1.642857143,1.447771292,1.447771292,1.176470588,1.176470588,0.5,0.428571429,0
465,0.5,1.147700271,1.647700271,25403.21931,46256.23639,166000.9568,1.214285714,1.714285714,1.311052989,1.311052989,2,2,0.5,0.5,0
466,0.5,1.147700271,1.647700271,20433.26687,40927.53625,87395.82152,1.214285714,1.642857143,1.226828143,1.226828143,1.31372549,1.31372549,0.5,0.428571429,0
467,0.5,1.147700271,1.647700271,19608.74969,81140.61725,176544.1225,1.214285714,1.571428571,1.678262322,1.678262322,1.803921569,1.803921569,0.5,0.357142857,0
468,0.5,1.147700271,1.647700271,23509.04582,90369.40719,139725.2569,1.285714286,1.857142857,1.760064718,1.760064718,1.352941176,1.352941176,0.5,0.571428571,0
469,0.5,1.147700271,1.647700271,43177.36286,45715.1992,123033.2518,1.071428571,1.571428571,1.303941643,1.303941643,1.647058824,1.647058824,0.5,0.5,0
470,0.5,1.147700271,1.647700271,30053.34528,49171.24358,146937.5007,1.214285714,1.785714286,1.354641013,1.354641013,1.823529412,1.823529412,0.5,0.571428571,0
471,0.5,1.147700271,1.647700271,30186.1168,52934.78707,126006.952,1.285714286,1.928571429,1.4044827,1.4044827,1.607843137,1.607843137,0.5,0.642857143,0
472,0.5,1.147700271,1.647700271,27956.94129,42007.60702,110967.5286,1.142857143,1.571428571,1.248454023,1.248454023,1.568627451,1.568627451,0.5,0.428571429,0
473,0.5,1.147700271,1.647700271,21106.68651,48565.81942,93684.02382,1.214285714,1.571428571,1.346850572,1.346850572,1.294117647,1.294117647,0.5,0.357142857,0
474,0.5,1.147700271,1.647700271,23324.64612,60645.18639,114765.5017,1.142857143,1.5,1.49074079,1.49074079,1.411764706,1.411764706,0.5,0.357142857,0
475,0.5,1.147700271,1.647700271,29313.6569,44878.22639,88712.12659,1.142857143,1.571428571,1.290463514,1.290463514,1.274509804,1.274509804,0.5,0.428571429,0
476,0.5,1.147700271,1.647700271,17442.25503,65040.38523,165188.0498,1.285714286,1.714285714,1.526390907,1.526390907,1.843137255,1.843137255,0.5,0.428571429,0
477,0.5,1.147700271,1.647700271,22914.21474,66407.36777,159467.9186,1.214285714,1.642857143,1.541094192,1.541094192,1.784313725,1.784313725,0.5,0.428571429,0
478,0.5,1.147700271,1.647700271,20123.72122,51994.18554,115065.0396,1.214285714,1.571428571,1.388152997,1.388152997,1.509803922,1.509803922,0.5,0.357142857,0
479,0.5,1.147700271,1.647700271,30814.786,67498.23111,130569.0852,1.142857143,1.642857143,1.559477477,1.559477477,1.509803922,1.509803922,0.5,0.5,0
480,0.5,1.147700271,1.647700271,35267.41431,53294.74492,124293.287,1.214285714,1.857142857,1.404350552,1.404350552,1.588235294,1.588235294,0.5,0.642857143,0
481,0.5,1.147700271,1.647700271,21457.92243,42615.9239,122103.1769,1.285714286,1.5,1.257335402,1.257335402,1.666666667,1.666666667,0.5,0.214285714,0
482,0.5,1.147700271,1.647700271,23633.50752,62392.26326,116512.5786,1.285714286,1.857142857,1.506445774,1.506445774,1.411764706,1.411764706,0.5,0.571428571,0
483,0.5,1.147700271,1.647700271,22761.21958,71909.39418,113382.3842,1.285714286,1.571428571,1.603106781,1.603106781,1.235294118,1.235294118,0.5,0.285714286,0
484,0.5,1.147700271,1.647700271,30803.44175,62000.05232,125070.9064,1.214285714,1.785714286,1.50087906,1.50087906,1.509803922,1.509803922,0.5,0.571428571,0
485,0.5,1.147700271,1.647700271,26811.34324,54341.37688,121299.333,1.214285714,1.714285714,1.410803367,1.410803367,1.549019608,1.549019608,0.5,0.5,0
486,0.5,1.147700271,1.647700271,17458.34069,51226.70011,107041.7024,1.285714286,1.714285714,1.37761769,1.37761769,1.431372549,1.431372549,0.5,0.428571429,0
487,0.5,1.147700271,1.647700271,20100.09023,65587.74108,134547.6627,1.214285714,1.642857143,1.534751299,1.534751299,1.568627451,1.568627451,0.5,0.428571429,0
488,0.5,1.147700271,1.647700271,20259.41566,62446.18594,144131.5106,1.214285714,1.642857143,1.498129281,1.498129281,1.68627451,1.68627451,0.5,0.428571429,0
489,0.5,1.147700271,1.647700271,38540.62012,62019.92947,157423.4347,1.142857143,1.714285714,1.50300374,1.50300374,1.803921569,1.803921569,0.5,0.571428571,0
490,0.5,1.147700271,1.647700271,36230.34015,69958.49959,110360.2584,1.214285714,1.857142857,1.579449007,1.579449007,1.215686275,1.215686275,0.5,0.642857143,0
491,0.5,1.147700271,1.647700271,20584.11676,51714.7876,104192.231,1.357142857,1.857142857,1.380536222,1.380536222,1.392156863,1.392156863,0.5,0.5,0
492,0.5,1.147700271,1.647700271,42838.63149,67579.91943,118468.4662,1.071428571,1.571428571,1.552880094,1.552880094,1.37254902,1.37254902,0.5,0.5,0
493,0.5,1.147700271,1.647700271,20941.68451,48732.84305,106292.2496,1.357142857,1.714285714,1.346538331,1.346538331,1.450980392,1.450980392,0.5,0.357142857,0
494,0.5,1.147700271,1.647700271,21065.9142,64435.80321,179204.0612,1.357142857,1.928571429,1.527192367,1.527192367,1.960784314,1.960784314,0.5,0.571428571,0
495,0.5,1.147700271,1.647700271,31174.93193,50550.31403,121548.8561,1.071428571,1.357142857,1.373253135,1.373253135,1.588235294,1.588235294,0.5,0.285714286,0
496,0.5,1.147700271,1.647700271,32590.5109,49175.80995,144579.3152,1.071428571,1.428571429,1.354715211,1.354715211,1.803921569,1.803921569,0.5,0.357142857,0
497,0.5,1.147700271,1.647700271,22753.25829,42496.47007,93385.01679,1.357142857,1.785714286,1.255691083,1.255691083,1.37254902,1.37254902,0.5,0.428571429,0
498,0.5,1.147700271,1.647700271,23441.77526,58852.10633,108337.8545,1.142857143,1.5,1.461301489,1.461301489,1.039215686,1.039215686,0.5,0.357142857,0
