lambda=0.5,T=100000,Single_Price=True,Alg.Cx=1,Alg.Cy=0.005,Alg.Cz=4,soft_constraint=False,,,,,,,,
339,0.5,1.147700271,1.647700271,4418.104913,5605.012463,8057.424186,1.276522634,1.354780521,1.556858143,1.556858143,1.783783784,1.783783784,0.5,0.078257888
340,0.5,1.147700271,1.647700271,3585.119077,5503.315954,7351.447387,1.296817558,1.554773663,1.220934601,1.220934601,1.72972973,1.72972973,0.5,0.257956104
341,0.5,1.147700271,1.647700271,3419.055229,5165.594599,5216.212581,1.284746228,1.572880658,1.484460101,1.484460101,1.27027027,1.27027027,0.5,0.288134431
342,0.5,1.147700271,1.647700271,4910.147687,5158.696828,4937.575382,1.292777778,1.316851852,1.269674109,1.269674109,1.378378378,1.378378378,0.5,0.024074074
343,0.5,1.147700271,1.647700271,3971.36065,4941.203242,6168.373289,1.424176955,1.575823045,1.427723921,1.427723921,1.621621622,1.621621622,0.5,0.151646091
344,0.5,1.147700271,1.647700271,3044.927327,5058.627335,5926.105668,1.21026749,1.509375857,1.290694819,1.290694819,1.594594595,1.594594595,0.5,0.299108368
345,0.5,1.147700271,1.647700271,3942.438768,6508.626453,6168.373289,1.3418107,1.487283951,1.655657645,1.655657645,1.621621622,1.621621622,0.5,0.145473251
346,0.5,1.147700271,1.647700271,4302.57578,4875.93018,5204.19421,1.273641975,1.361502058,1.374141757,1.374141757,1.486486486,1.486486486,0.5,0.087860082
347,0.5,1.147700271,1.647700271,3891.071664,4976.228958,11009.57451,1.39845679,1.60154321,1.311323854,1.311323854,1.972972973,1.972972973,0.5,0.20308642
348,0.5,1.147700271,1.647700271,4135.462232,5503.866605,10548.25565,1.338518519,1.492222222,1.218028434,1.218028434,1.945945946,1.945945946,0.5,0.153703704
349,0.5,1.147700271,1.647700271,4261.942253,5164.52422,10548.25565,1.542475995,1.767510288,1.267776887,1.267776887,1.945945946,1.945945946,0.5,0.225034294
350,0.5,1.147700271,1.647700271,4713.936612,5214.474407,11482.19613,1.18558299,1.257668038,1.258145188,1.258145188,2,2,0.5,0.072085048
351,0.5,1.147700271,1.647700271,5201.965788,5135.473511,7695.68452,1.409917695,1.393388203,1.485490799,1.485490799,1.756756757,1.756756757,0.5,0.016529492
352,0.5,1.147700271,1.647700271,3912.128797,4952.637764,4937.575382,1.34702332,1.479465021,1.432745577,1.432745577,1.378378378,1.378378378,0.5,0.132441701
353,0.5,1.147700271,1.647700271,3139.260128,4876.327951,5345.219824,1.332613169,1.667386831,1.383829028,1.383829028,1.513513514,1.513513514,0.5,0.334773663
354,0.5,1.147700271,1.647700271,3513.833686,5497.543071,5204.19421,1.358676269,1.641323731,1.54139761,1.54139761,1.486486486,1.486486486,0.5,0.282647462
355,0.5,1.147700271,1.647700271,4984.417216,5686.238475,5926.105668,1.422524588,1.422524588,1.566969684,1.566969684,1.594594595,1.594594595,0.5,0
356,0.5,1.147700271,1.647700271,4175.381862,5775.920458,9662.253707,1.5328738,1.771625514,1.578347131,1.578347131,1.891891892,1.891891892,0.5,0.238751715
357,0.5,1.147700271,1.647700271,5159.021102,5154.676925,4952.308113,1.55962963,1.62691358,1.490732365,1.490732365,1.351351351,1.351351351,0.5,0.067283951
358,0.5,1.147700271,1.647700271,3931.698891,7090.169959,5008.658337,1.329739369,1.505390947,1.706763194,1.706763194,1.432432432,1.432432432,0.5,0.175651578
359,0.5,1.147700271,1.647700271,5274.712071,5618.815123,5204.19421,1.509264333,1.509264333,1.565993977,1.565993977,1.486486486,1.486486486,0.5,0
360,0.5,1.147700271,1.647700271,4529.25856,8624.597629,5926.105668,1.181056241,1.275775034,1.822261151,1.822261151,1.594594595,1.594594595,0.5,0.094718793
361,0.5,1.147700271,1.647700271,3850.041151,6909.833046,5090.004457,1.253065844,1.409513032,1.693652922,1.693652922,1.297297297,1.297297297,0.5,0.156447188
362,0.5,1.147700271,1.647700271,4012.877228,4979.674593,11482.19613,1.348120713,1.47781893,1.444656321,1.444656321,2,2,0.5,0.129698217
363,0.5,1.147700271,1.647700271,4400.858372,4937.214343,10098.9148,1.492962963,1.671358025,1.324683222,1.324683222,1.918918919,1.918918919,0.5,0.178395062
364,0.5,1.147700271,1.647700271,4572.646368,5788.115495,8829.916146,1.366502058,1.450246914,1.581155648,1.581155648,1.837837838,1.837837838,0.5,0.083744856
365,0.5,1.147700271,1.647700271,3422.405992,6470.622826,4952.308113,1.216028807,1.495932785,1.132700363,1.132700363,1.351351351,1.351351351,0.5,0.279903978
366,0.5,1.147700271,1.647700271,5018.793129,5263.617994,10548.25565,1.298127572,1.304368999,1.257030011,1.257030011,1.945945946,1.945945946,0.5,0.006241427
367,0.5,1.147700271,1.647700271,3179.355491,5689.53645,5845.020673,1.204506173,1.52281893,1.571188064,1.571188064,1.189189189,1.189189189,0.5,0.318312757
368,0.5,1.147700271,1.647700271,3821.556382,5331.985671,5591.91287,1.342633745,1.486049383,1.521751772,1.521751772,1.216216216,1.216216216,0.5,0.143415638
369,0.5,1.147700271,1.647700271,4564.915767,8032.578565,5204.19421,1.447153635,1.552846365,1.78452513,1.78452513,1.486486486,1.486486486,0.5,0.10569273
370,0.5,1.147700271,1.647700271,4370.420185,5494.913754,7025.628572,1.250185185,1.416234568,1.547111511,1.547111511,1.702702703,1.702702703,0.5,0.166049383
371,0.5,1.147700271,1.647700271,3374.140432,8046.412721,5591.91287,1.211090535,1.507455418,1.786074213,1.786074213,1.216216216,1.216216216,0.5,0.296364883
372,0.5,1.147700271,1.647700271,4561.684303,5996.911354,8829.916146,1.383786008,1.424320988,1.605714788,1.605714788,1.837837838,1.837837838,0.5,0.040534979
373,0.5,1.147700271,1.647700271,3876.965529,5133.330804,10548.25565,1.53239369,1.771831276,1.27332925,1.27332925,1.945945946,1.945945946,0.5,0.239437586
374,0.5,1.147700271,1.647700271,4724.511113,8290.466797,5707.386629,1.286399177,1.331735254,1.799879072,1.799879072,1.567567568,1.567567568,0.5,0.045336077
375,0.5,1.147700271,1.647700271,3754.191652,4903.081316,10548.25565,1.160205761,1.359176955,1.405052616,1.405052616,1.945945946,1.945945946,0.5,0.198971193
376,0.5,1.147700271,1.647700271,6397.65852,10772.29279,6888.482502,1.647749955,1.647749955,1.963651917,1.963651917,1.108108108,1.108108108,0.5,0
377,0.5,1.147700271,1.647700271,3906.773652,4907.244506,5008.658337,1.480617284,1.679588477,1.40848764,1.40848764,1.432432432,1.432432432,0.5,0.198971193
378,0.5,1.147700271,1.647700271,3506.256309,5607.410064,8401.996473,1.234547325,1.452722908,1.557590548,1.557590548,1.027027027,1.027027027,0.5,0.218175583
379,0.5,1.147700271,1.647700271,3971.36065,7738.684939,5090.004457,1.424176955,1.575823045,1.760930624,1.760930624,1.297297297,1.297297297,0.5,0.151646091
380,0.5,1.147700271,1.647700271,3825.706903,5609.864873,10098.9148,1.24936214,1.418155007,1.558287132,1.558287132,1.918918919,1.918918919,0.5,0.168792867
381,0.5,1.147700271,1.647700271,3934.798575,4942.961261,11482.19613,1.329739369,1.505390947,1.325523675,1.325523675,2,2,0.5,0.175651578
382,0.5,1.147700271,1.647700271,4080.560822,5392.517005,5216.212581,1.43069273,1.56930727,1.523776454,1.523776454,1.27027027,1.27027027,0.5,0.13861454
383,0.5,1.147700271,1.647700271,3425.894252,5481.657259,11009.57451,1.232901235,1.456563786,1.224960824,1.224960824,1.972972973,1.972972973,0.5,0.223662551
384,0.5,1.147700271,1.647700271,4169.817958,5753.026662,5513.361766,1.269526749,1.371104252,1.576898689,1.576898689,1.540540541,1.540540541,0.5,0.101577503
385,0.5,1.147700271,1.647700271,5894.015303,4968.629896,7695.68452,1.604803263,1.604803263,1.43990153,1.43990153,1.756756757,1.756756757,0.5,0
386,0.5,1.147700271,1.647700271,4532.300402,8111.122899,5707.386629,1.462585734,1.537414266,1.789836592,1.789836592,1.567567568,1.567567568,0.5,0.074828532
387,0.5,1.147700271,1.647700271,8157.184388,4891.396718,9662.253707,1.827722908,1.689108368,1.392228223,1.392228223,1.891891892,1.891891892,0.5,0.13861454
388,0.5,1.147700271,1.647700271,4775.110628,5655.183087,9239.0016,1.592407407,1.746111111,1.563865584,1.563865584,1.864864865,1.864864865,0.5,0.153703704
389,0.5,1.147700271,1.647700271,4604.300906,5710.3356,5002.586843,1.382962963,1.425555556,1.578795498,1.578795498,1.324324324,1.324324324,0.5,0.042592593
390,0.5,1.147700271,1.647700271,3836.906422,5830.782192,10548.25565,1.406687243,1.593312757,1.590796631,1.590796631,1.945945946,1.945945946,0.5,0.186625514
391,0.5,1.147700271,1.647700271,3499.755764,6100.504491,5090.004457,1.150877915,1.39648834,1.619626461,1.619626461,1.297297297,1.297297297,0.5,0.245610425
392,0.5,1.147700271,1.647700271,4273.071286,5292.114144,6168.373289,1.271584362,1.366303155,1.244506023,1.244506023,1.621621622,1.621621622,0.5,0.094718793
393,0.5,1.147700271,1.647700271,4794.005274,6226.651495,4956.852538,1.549341564,1.633772291,1.62647484,1.62647484,1.405405405,1.405405405,0.5,0.084430727
394,0.5,1.147700271,1.647700271,5447.078302,4900.806793,8829.916146,1.575679012,1.616213992,1.351937336,1.351937336,1.837837838,1.837837838,0.5,0.040534979
395,0.5,1.147700271,1.647700271,4414.687148,5533.733829,6168.373289,1.275082305,1.358141289,1.215902087,1.215902087,1.621621622,1.621621622,0.5,0.083058985
396,0.5,1.147700271,1.647700271,5096.835155,5043.606168,4956.852538,1.555925926,1.629382716,1.295560503,1.295560503,1.405405405,1.405405405,0.5,0.07345679
397,0.5,1.147700271,1.647700271,3489.22831,5188.87368,5513.361766,1.354561043,1.645438957,1.489749128,1.489749128,1.540540541,1.540540541,0.5,0.290877915
398,0.5,1.147700271,1.647700271,3630.583575,5210.015708,6719.178922,1.160891632,1.356433471,1.495106131,1.495106131,1.675675676,1.675675676,0.5,0.195541838
399,0.5,1.147700271,1.647700271,5117.423982,6482.589099,5707.386629,1.495164609,1.504835391,1.652776212,1.652776212,1.567567568,1.567567568,0.5,0.009670782
400,0.5,1.147700271,1.647700271,4436.265897,4906.274258,7025.628572,1.455384088,1.544615912,1.346166479,1.346166479,1.702702703,1.702702703,0.5,0.089231824
401,0.5,1.147700271,1.647700271,4037.566999,6159.119109,6144.154686,1.429663923,1.570336077,1.151575258,1.151575258,1.162162162,1.162162162,0.5,0.140672154
402,0.5,1.147700271,1.647700271,3806.712762,4887.606926,9662.253707,1.231666667,1.459444444,1.399718811,1.399718811,1.891891892,1.891891892,0.5,0.227777778
403,0.5,1.147700271,1.647700271,4855.987211,6181.600392,10098.9148,1.480761317,1.519238683,1.627785821,1.627785821,1.918918919,1.918918919,0.5,0.038477366
404,0.5,1.147700271,1.647700271,3360.767417,5354.829077,6433.085584,1.13962963,1.441481481,1.23741869,1.23741869,1.648648649,1.648648649,0.5,0.301851852
405,0.5,1.147700271,1.647700271,4094.256385,6103.929821,5513.361766,1.164046639,1.343813443,1.613465809,1.613465809,1.540540541,1.540540541,0.5,0.179766804
406,0.5,1.147700271,1.647700271,3349.132773,5166.336551,5204.19421,1.150877915,1.39648834,1.48503604,1.48503604,1.486486486,1.486486486,0.5,0.245610425
407,0.5,1.147700271,1.647700271,5058.772063,5999.238414,5591.91287,1.448720696,1.448720696,1.167328229,1.167328229,1.216216216,1.216216216,0.5,0
408,0.5,1.147700271,1.647700271,3844.833269,4876.500836,5091.564556,1.463333333,1.691111111,1.369665489,1.369665489,1.459459459,1.459459459,0.5,0.227777778
409,0.5,1.147700271,1.647700271,4935.539254,5507.778463,7695.68452,1.296687243,1.307729767,1.221523491,1.221523491,1.756756757,1.756756757,0.5,0.011042524
410,0.5,1.147700271,1.647700271,3703.292876,4914.630004,5216.212581,1.22590535,1.472887517,1.391854011,1.391854011,1.27027027,1.27027027,0.5,0.246982167
411,0.5,1.147700271,1.647700271,3086.998014,6253.188262,8435.784465,1.141001372,1.435994513,1.147366087,1.147366087,1.810810811,1.810810811,0.5,0.294993141
412,0.5,1.147700271,1.647700271,5697.050271,6192.203671,5204.19421,1.557201351,1.557201351,1.155070267,1.155070267,1.486486486,1.486486486,0.5,0
413,0.5,1.147700271,1.647700271,3276.682926,5672.513047,6433.085584,1.280356653,1.579465021,1.202480512,1.202480512,1.648648649,1.648648649,0.5,0.299108368
414,0.5,1.147700271,1.647700271,3479.333703,4887.863868,6168.373289,1.317119342,1.524320988,1.371866623,1.371866623,1.621621622,1.621621622,0.5,0.207201646
415,0.5,1.147700271,1.647700271,4012.234446,4924.628593,4937.575382,1.158285322,1.366858711,1.419261883,1.419261883,1.378378378,1.378378378,0.5,0.208573388
416,0.5,1.147700271,1.647700271,3641.481646,7795.834424,7695.68452,1.152798354,1.388806584,1.051229336,1.051229336,1.756756757,1.756756757,0.5,0.23600823
417,0.5,1.147700271,1.647700271,4609.792703,5163.840435,9662.253707,1.382962963,1.425555556,1.494264201,1.494264201,1.891891892,1.891891892,0.5,0.042592593
418,0.5,1.147700271,1.647700271,4141.648697,5614.093185,9662.253707,1.353333333,1.47,1.564294355,1.564294355,1.891891892,1.891891892,0.5,0.116666667
419,0.5,1.147700271,1.647700271,4111.901844,4885.797299,5204.19421,1.265,1.381666667,1.381620659,1.381620659,1.486486486,1.486486486,0.5,0.116666667
420,0.5,1.147700271,1.647700271,5231.031348,4993.524583,11009.57451,1.497222222,1.502777778,1.308541132,1.308541132,1.972972973,1.972972973,0.5,0.005555556
421,0.5,1.147700271,1.647700271,5190.351997,4962.715341,5926.105668,1.193264746,1.226941015,1.426542779,1.426542779,1.594594595,1.594594595,0.5,0.033676269
422,0.5,1.147700271,1.647700271,4261.307094,5495.732643,8057.424186,1.269938272,1.370144033,1.541562269,1.541562269,1.783783784,1.783783784,0.5,0.100205761
423,0.5,1.147700271,1.647700271,3636.02816,5124.952213,5382.923622,1.365534979,1.634465021,1.278190496,1.278190496,1.243243243,1.243243243,0.5,0.268930041
424,0.5,1.147700271,1.647700271,4238.776359,4906.106523,7351.447387,1.362112483,1.456831276,1.41393329,1.41393329,1.72972973,1.72972973,0.5,0.094718793
425,0.5,1.147700271,1.647700271,3124.432843,5579.276429,4937.575382,1.268285322,1.597572016,1.556379345,1.556379345,1.378378378,1.378378378,0.5,0.329286694
426,0.5,1.147700271,1.647700271,4701.183384,5329.027304,4937.575382,1.386255144,1.420617284,1.520805353,1.520805353,1.378378378,1.378378378,0.5,0.03436214
427,0.5,1.147700271,1.647700271,3454.963334,5500.475585,4952.308113,1.379938272,1.620061728,1.221888896,1.221888896,1.351351351,1.351351351,0.5,0.240123457
428,0.5,1.147700271,1.647700271,4465.748313,5195.072783,5345.219824,1.362112483,1.456831276,1.497119527,1.497119527,1.513513514,1.513513514,0.5,0.094718793
429,0.5,1.147700271,1.647700271,4135.156619,5820.556254,5382.923622,1.359917695,1.460123457,1.183540345,1.183540345,1.243243243,1.243243243,0.5,0.100205761
430,0.5,1.147700271,1.647700271,4274.713365,4961.72805,4937.575382,1.474855967,1.683429355,1.437034265,1.437034265,1.378378378,1.378378378,0.5,0.208573388
431,0.5,1.147700271,1.647700271,3639.061508,5204.246597,5204.19421,1.161989026,1.352043896,1.499137441,1.499137441,1.486486486,1.486486486,0.5,0.19005487
432,0.5,1.147700271,1.647700271,3648.998052,8536.629299,6888.482502,1.235781893,1.44984225,1.014091321,1.014091321,1.108108108,1.108108108,0.5,0.214060357
433,0.5,1.147700271,1.647700271,4856.394905,5453.384857,7025.628572,1.292983539,1.316371742,1.226448979,1.226448979,1.702702703,1.702702703,0.5,0.023388203
434,0.5,1.147700271,1.647700271,4533.588864,4950.090805,8057.424186,1.181056241,1.275775034,1.43170977,1.43170977,1.783783784,1.783783784,0.5,0.094718793
435,0.5,1.147700271,1.647700271,3522.562531,5963.007953,5926.105668,1.072283951,1.349444444,1.599950158,1.599950158,1.594594595,1.594594595,0.5,0.277160494
436,0.5,1.147700271,1.647700271,3522.655963,6766.68788,10548.25565,1.148957476,1.404170096,1.112095195,1.112095195,1.945945946,1.945945946,0.5,0.25521262
437,0.5,1.147700271,1.647700271,2915.883442,4892.625048,5345.219824,1.19462963,1.545864198,1.404440023,1.404440023,1.513513514,1.513513514,0.5,0.351234568
438,0.5,1.147700271,1.647700271,3658.015145,5062.807567,10548.25565,1.234958848,1.451762689,1.47014837,1.47014837,1.945945946,1.945945946,0.5,0.216803841
439,0.5,1.147700271,1.647700271,3905.588722,5763.8441,6719.178922,1.402572016,1.597427984,1.5812703,1.5812703,1.675675676,1.675675676,0.5,0.194855967
440,0.5,1.147700271,1.647700271,3562.022185,9652.205216,5845.020673,1.24462963,1.429197531,1.892883373,1.892883373,1.189189189,1.189189189,0.5,0.184567901
441,0.5,1.147700271,1.647700271,3585.085271,6835.883302,7695.68452,1.073792867,1.335864198,1.691892385,1.691892385,1.756756757,1.756756757,0.5,0.262071331
442,0.5,1.147700271,1.647700271,3677.350436,6727.505794,10098.9148,1.239897119,1.440240055,1.111703749,1.111703749,1.918918919,1.918918919,0.5,0.200342936
443,0.5,1.147700271,1.647700271,3977.523317,5448.214448,5345.219824,1.238251029,1.444080933,1.225967718,1.225967718,1.513513514,1.513513514,0.5,0.205829904
444,0.5,1.147700271,1.647700271,4232.213015,4882.267794,4952.308113,1.505720165,1.662853224,1.393959299,1.393959299,1.351351351,1.351351351,0.5,0.157133059
445,0.5,1.147700271,1.647700271,4323.701486,4996.177412,4952.308113,1.176666667,1.293333333,1.440553351,1.440553351,1.351351351,1.351351351,0.5,0.116666667
446,0.5,1.147700271,1.647700271,3608.222155,4885.537965,7351.447387,1.386111111,1.613888889,1.372543601,1.372543601,1.72972973,1.72972973,0.5,0.227777778
447,0.5,1.147700271,1.647700271,3315.687015,5807.485041,4956.852538,1.220144033,1.48633059,1.186736168,1.186736168,1.405405405,1.405405405,0.5,0.266186557
448,0.5,1.147700271,1.647700271,4023.342058,4965.259003,9239.0016,1.35744856,1.46382716,1.321551853,1.321551853,1.864864865,1.864864865,0.5,0.106378601
449,0.5,1.147700271,1.647700271,3821.156951,5190.47745,6433.085584,1.337969822,1.493045267,1.27003012,1.27003012,1.648648649,1.648648649,0.5,0.155075446
450,0.5,1.147700271,1.647700271,4095.218915,4876.966639,5345.219824,1.265205761,1.381186557,1.384622678,1.384622678,1.513513514,1.513513514,0.5,0.115980796
451,0.5,1.147700271,1.647700271,3470.936287,5402.319593,8829.916146,1.389540466,1.610459534,1.535237107,1.535237107,1.837837838,1.837837838,0.5,0.220919067
452,0.5,1.147700271,1.647700271,5002.274382,4920.172139,5513.361766,1.398875171,1.401687243,1.338409983,1.338409983,1.540540541,1.540540541,0.5,0.002812071
453,0.5,1.147700271,1.647700271,4800.085221,5964.810249,5591.91287,1.393388203,1.409917695,1.600653081,1.600653081,1.216216216,1.216216216,0.5,0.016529492
454,0.5,1.147700271,1.647700271,3821.792433,5315.379879,6168.373289,1.333580247,1.49962963,1.514932056,1.514932056,1.621621622,1.621621622,0.5,0.166049383
455,0.5,1.147700271,1.647700271,4022.966751,4887.154838,4937.575382,1.425205761,1.574794239,1.368832666,1.368832666,1.378378378,1.378378378,0.5,0.149588477
456,0.5,1.147700271,1.647700271,4588.376328,6468.284462,9239.0016,1.505308642,1.663127572,1.65249972,1.65249972,1.864864865,1.864864865,0.5,0.15781893
457,0.5,1.147700271,1.647700271,3596.650653,4885.995235,8829.916146,1.237839506,1.445041152,1.354294759,1.354294759,1.837837838,1.837837838,0.5,0.207201646
458,0.5,1.147700271,1.647700271,3862.679595,4881.06501,5382.923622,1.330836763,1.503744856,1.392672459,1.392672459,1.243243243,1.243243243,0.5,0.172908093
459,0.5,1.147700271,1.647700271,4649.624911,5214.423463,4956.852538,1.520534979,1.65297668,1.265293296,1.265293296,1.405405405,1.405405405,0.5,0.132441701
460,0.5,1.147700271,1.647700271,3410.984905,4889.269383,6433.085584,1.349074074,1.650925926,1.367265528,1.367265528,1.648648649,1.648648649,0.5,0.301851852
461,0.5,1.147700271,1.647700271,3750.528565,4962.530004,7695.68452,1.393655693,1.606344307,1.425031274,1.425031274,1.756756757,1.756756757,0.5,0.212688615
462,0.5,1.147700271,1.647700271,4210.350863,5514.374921,10548.25565,1.443038409,1.556961591,1.551786195,1.551786195,1.945945946,1.945945946,0.5,0.113923182
463,0.5,1.147700271,1.647700271,4917.68525,4979.806194,11965.47087,1.418237847,1.418237847,1.433175806,1.433175806,2.027027027,2.027027027,0.5,0
464,0.5,1.147700271,1.647700271,3964.583238,4920.973366,5591.91287,1.474855967,1.683429355,1.33160836,1.33160836,1.216216216,1.216216216,0.5,0.208573388
465,0.5,1.147700271,1.647700271,5710.895317,4955.07325,11482.19613,1.513751715,1.486248285,1.436438963,1.436438963,2,2,0.5,0.027503429
466,0.5,1.147700271,1.647700271,3687.70482,4977.964469,5002.586843,1.24936214,1.418155007,1.430822172,1.430822172,1.324324324,1.324324324,0.5,0.168792867
467,0.5,1.147700271,1.647700271,3885.595002,5006.014889,5926.105668,1.443580247,1.704279835,1.443681177,1.443681177,1.594594595,1.594594595,0.5,0.260699588
468,0.5,1.147700271,1.647700271,3115.455714,4885.599169,7695.68452,1.221378601,1.483449931,1.372464678,1.372464678,1.756756757,1.756756757,0.5,0.262071331
469,0.5,1.147700271,1.647700271,4965.459777,6764.421482,5008.658337,1.431617892,1.431617892,1.683827385,1.683827385,1.432432432,1.432432432,0.5,0
470,0.5,1.147700271,1.647700271,4486.978155,6347.727896,6719.178922,1.37994513,1.430082305,1.63794875,1.63794875,1.675675676,1.675675676,0.5,0.050137174
471,0.5,1.147700271,1.647700271,3478.810025,6700.400004,6433.085584,1.413950617,1.724032922,1.116347428,1.116347428,1.648648649,1.648648649,0.5,0.310082305
472,0.5,1.147700271,1.647700271,3266.230734,7701.964046,6144.154686,1.234753086,1.452242798,1.764754574,1.764754574,1.162162162,1.162162162,0.5,0.217489712
473,0.5,1.147700271,1.647700271,6913.844293,5839.54092,6719.178922,1.66202332,1.71627572,1.587877716,1.587877716,1.675675676,1.675675676,0.5,0.054252401
474,0.5,1.147700271,1.647700271,3483.095406,4970.902684,6144.154686,1.227962963,1.46808642,1.429951919,1.429951919,1.162162162,1.162162162,0.5,0.240123457
475,0.5,1.147700271,1.647700271,4946.321708,5685.783949,6144.154686,1.39567484,1.39567484,1.571885621,1.571885621,1.162162162,1.162162162,0.5,0
476,0.5,1.147700271,1.647700271,4866.142287,8026.131964,5382.923622,1.482475995,1.517524005,1.038714726,1.038714726,1.243243243,1.243243243,0.5,0.035048011
477,0.5,1.147700271,1.647700271,4125.519233,4901.778895,6719.178922,1.429320988,1.570679012,1.411642133,1.411642133,1.675675676,1.675675676,0.5,0.141358025
478,0.5,1.147700271,1.647700271,4909.871211,6846.117861,5204.19421,1.543580247,1.637613169,1.690721231,1.690721231,1.486486486,1.486486486,0.5,0.094032922
479,0.5,1.147700271,1.647700271,3703.292876,6349.260436,10548.25565,1.22590535,1.472887517,1.650791873,1.650791873,1.945945946,1.945945946,0.5,0.246982167
480,0.5,1.147700271,1.647700271,4114.177165,5017.349405,8435.784465,1.253477366,1.408552812,1.448047789,1.448047789,1.810810811,1.810810811,0.5,0.155075446
481,0.5,1.147700271,1.647700271,3043.253975,6127.251995,5707.386629,1.266090535,1.600864198,1.622716476,1.622716476,1.567567568,1.567567568,0.5,0.334773663
482,0.5,1.147700271,1.647700271,4769.111624,4911.768048,5090.004457,1.183388203,1.266447188,1.344061027,1.344061027,1.297297297,1.297297297,0.5,0.083058985
483,0.5,1.147700271,1.647700271,4218.229055,5030.531104,7351.447387,1.435836763,1.564163237,1.462021701,1.462021701,1.72972973,1.72972973,0.5,0.128326475
484,0.5,1.147700271,1.647700271,3673.884052,5948.894183,6719.178922,1.308888889,1.536666667,1.60755568,1.60755568,1.675675676,1.675675676,0.5,0.227777778
485,0.5,1.147700271,1.647700271,5515.553634,5779.090885,4952.308113,1.227629575,1.227629575,1.189743103,1.189743103,1.351351351,1.351351351,0.5,0
486,0.5,1.147700271,1.647700271,3474.43338,5349.249168,5707.386629,1.289135802,1.566296296,1.521113484,1.521113484,1.567567568,1.567567568,0.5,0.277160494
487,0.5,1.147700271,1.647700271,3086.998014,5297.131815,10098.9148,1.141001372,1.435994513,1.506637598,1.506637598,1.918918919,1.918918919,0.5,0.294993141
488,0.5,1.147700271,1.647700271,3347.931156,5072.3232,5008.658337,1.219320988,1.488251029,1.284790351,1.284790351,1.432432432,1.432432432,0.5,0.268930041
489,0.5,1.147700271,1.647700271,3997.387646,4901.948851,4956.852538,1.16733882,1.330644719,1.348231811,1.348231811,1.405405405,1.405405405,0.5,0.163305898
490,0.5,1.147700271,1.647700271,4722.635576,5141.394284,11965.47087,1.468415638,1.531584362,1.489106578,1.489106578,2.027027027,2.027027027,0.5,0.063168724
491,0.5,1.147700271,1.647700271,5132.097224,6196.395248,5513.361766,1.444753086,1.555246914,1.6297485,1.6297485,1.540540541,1.540540541,0.5,0.110493827
492,0.5,1.147700271,1.647700271,4082.705582,5656.520668,9662.253707,1.169807956,1.320768176,1.571303601,1.571303601,1.891891892,1.891891892,0.5,0.150960219
493,0.5,1.147700271,1.647700271,4907.417222,6756.532113,6168.373289,1.344845978,1.344845978,1.682760843,1.682760843,1.621621622,1.621621622,0.5,0
494,0.5,1.147700271,1.647700271,3776.860332,5467.032242,10098.9148,1.31218107,1.531728395,1.22550374,1.22550374,1.918918919,1.918918919,0.5,0.219547325
495,0.5,1.147700271,1.647700271,4703.44756,5007.245884,6168.373289,1.381316872,1.428024691,1.301736468,1.301736468,1.621621622,1.621621622,0.5,0.046707819
496,0.5,1.147700271,1.647700271,4911.80745,4922.459968,5513.361766,1.365181457,1.365181457,1.333161413,1.333161413,1.540540541,1.540540541,0.5,0
497,0.5,1.147700271,1.647700271,3635.999042,5015.510262,4952.308113,1.226316872,1.471927298,1.299860419,1.299860419,1.351351351,1.351351351,0.5,0.245610425
498,0.5,1.147700271,1.647700271,4056.047648,5197.870874,11482.19613,1.170082305,1.319670782,1.49352503,1.49352503,2,2,0.5,0.149588477
499,0.5,1.147700271,1.647700271,3783.887044,6567.511035,8829.916146,1.256975309,1.400390947,1.125385895,1.125385895,1.837837838,1.837837838,0.5,0.143415638
500,0.5,1.147700271,1.647700271,5408.370382,5000.081507,5216.212581,1.234239532,1.234239532,1.449510562,1.449510562,1.27027027,1.27027027,0.5,0
501,0.5,1.147700271,1.647700271,3205.359585,4929.382034,7695.68452,1.303950617,1.544074074,1.403502019,1.403502019,1.756756757,1.756756757,0.5,0.240123457
502,0.5,1.147700271,1.647700271,5665.118943,6365.014954,9662.253707,1.423497942,1.384334705,1.647510511,1.647510511,1.891891892,1.891891892,0.5,0.039163237
503,0.5,1.147700271,1.647700271,4341.502051,6764.21188,6168.373289,1.491316872,1.672455418,1.113099819,1.113099819,1.621621622,1.621621622,0.5,0.181138546
504,0.5,1.147700271,1.647700271,4050.594172,5724.879437,7025.628572,1.353333333,1.47,1.576416399,1.576416399,1.702702703,1.702702703,0.5,0.116666667
505,0.5,1.147700271,1.647700271,5794.394992,5747.054959,5345.219824,1.183065941,1.183065941,1.582042724,1.582042724,1.513513514,1.513513514,0.5,0
506,0.5,1.147700271,1.647700271,3990.377633,6394.215244,5216.212581,1.248950617,1.419115226,1.644623008,1.644623008,1.27027027,1.27027027,0.5,0.170164609
507,0.5,1.147700271,1.647700271,3292.972621,4981.557857,5707.386629,1.344958848,1.655041152,1.44664176,1.44664176,1.567567568,1.567567568,0.5,0.310082305
508,0.5,1.147700271,1.647700271,4329.177967,6840.844673,6144.154686,1.507777778,1.661481481,1.108408725,1.108408725,1.162162162,1.162162162,0.5,0.153703704
509,0.5,1.147700271,1.647700271,4911.574842,6298.510649,6719.178922,1.371551446,1.371551446,1.645531755,1.645531755,1.675675676,1.675675676,0.5,0
