lambda=0.5,T=100000,Single_Price=True,Alg.Cx=1,Alg.Cy=0.005,Alg.Cz=4,soft_constraint=False,,,,,,,,
99,0.5,1.147700271,1.647700271,3239.694238,6070.468311,7841.593891,1.226316872,1.471927298,1.165573648,1.165573648,1.054054054,1.054054054,0.5,0.245610425
100,0.5,1.147700271,1.647700271,4512.333068,5095.320027,7025.628572,1.528765432,1.647489712,1.283520352,1.283520352,1.702702703,1.702702703,0.5,0.11872428
101,0.5,1.147700271,1.647700271,3269.00514,4912.186767,5008.658337,1.216028807,1.495932785,1.342712404,1.342712404,1.432432432,1.432432432,0.5,0.279903978
102,0.5,1.147700271,1.647700271,4381.298297,4954.566117,7025.628572,1.536714678,1.769979424,1.422265797,1.422265797,1.702702703,1.702702703,0.5,0.233264746
103,0.5,1.147700271,1.647700271,3477.593492,5479.091274,5513.361766,1.388168724,1.611831276,1.540822246,1.540822246,1.540540541,1.540540541,0.5,0.223662551
104,0.5,1.147700271,1.647700271,4490.468899,6058.367846,10098.9148,1.279814815,1.347098765,1.613531576,1.613531576,1.918918919,1.918918919,0.5,0.067283951
105,0.5,1.147700271,1.647700271,4940.15203,4949.220131,4952.308113,1.419627112,1.419627112,1.419141359,1.419141359,1.351351351,1.351351351,0.5,0
106,0.5,1.147700271,1.647700271,3751.592317,6750.164677,5382.923622,1.373765432,1.626234568,1.682394241,1.682394241,1.243243243,1.243243243,0.5,0.252469136
107,0.5,1.147700271,1.647700271,2966.988984,4925.034201,4952.308113,1.129753086,1.480987654,1.334000109,1.334000109,1.351351351,1.351351351,0.5,0.351234568
108,0.5,1.147700271,1.647700271,4118.829564,5189.927051,5345.219824,1.078045267,1.297592593,1.499492641,1.499492641,1.513513514,1.513513514,0.5,0.219547325
109,0.5,1.147700271,1.647700271,4907.466706,5458.87095,6168.373289,1.60585048,1.740349794,1.544268958,1.544268958,1.621621622,1.621621622,0.5,0.134499314
110,0.5,1.147700271,1.647700271,4248.436737,5549.363736,8401.996473,1.362112483,1.456831276,1.556062931,1.556062931,1.027027027,1.027027027,0.5,0.094718793
111,0.5,1.147700271,1.647700271,3479.333703,4886.274516,7351.447387,1.317119342,1.524320988,1.39927527,1.39927527,1.72972973,1.72972973,0.5,0.207201646
112,0.5,1.147700271,1.647700271,3103.225651,5712.038226,6433.085584,1.329869684,1.670130316,1.570254342,1.570254342,1.648648649,1.648648649,0.5,0.340260631
113,0.5,1.147700271,1.647700271,3649.397521,4910.163954,5204.19421,1.450164609,1.699890261,1.343325038,1.343325038,1.486486486,1.486486486,0.5,0.249725652
114,0.5,1.147700271,1.647700271,4329.962631,4942.66019,5926.105668,1.441666667,1.558333333,1.413684115,1.413684115,1.594594595,1.594594595,0.5,0.116666667
115,0.5,1.147700271,1.647700271,3892.140712,5263.914726,11965.47087,1.259444444,1.39462963,1.505109703,1.505109703,2.027027027,2.027027027,0.5,0.135185185
116,0.5,1.147700271,1.647700271,5199.820913,5543.23878,8057.424186,1.4468107,1.5531893,1.552987853,1.552987853,1.783783784,1.783783784,0.5,0.106378601
117,0.5,1.147700271,1.647700271,3159.437229,5356.93859,11009.57451,1.134142661,1.463429355,1.24212311,1.24212311,1.972972973,1.972972973,0.5,0.329286694
118,0.5,1.147700271,1.647700271,4251.364,5037.737462,5513.361766,1.448868313,1.551131687,1.461291593,1.461291593,1.540540541,1.540540541,0.5,0.102263374
119,0.5,1.147700271,1.647700271,3315.386507,4941.634958,5091.564556,1.279259259,1.581111111,1.426836135,1.426836135,1.459459459,1.459459459,0.5,0.301851852
120,0.5,1.147700271,1.647700271,2840.696083,6727.96843,5382.923622,1.192983539,1.549705075,1.11592241,1.11592241,1.243243243,1.243243243,0.5,0.356721536
121,0.5,1.147700271,1.647700271,5414.443408,5291.113531,6433.085584,1.227899013,1.227899013,1.505801304,1.505801304,1.648648649,1.648648649,0.5,0
122,0.5,1.147700271,1.647700271,4741.653185,5455.116682,6888.482502,1.455727023,1.544272977,1.53536098,1.53536098,1.108108108,1.108108108,0.5,0.088545953
123,0.5,1.147700271,1.647700271,3513.163233,6589.227149,5382.923622,1.221790123,1.482489712,1.123370527,1.123370527,1.243243243,1.243243243,0.5,0.260699588
124,0.5,1.147700271,1.647700271,6904.788693,6194.783018,5345.219824,1.69755144,1.701049383,1.630573609,1.630573609,1.513513514,1.513513514,0.5,0.003497942
125,0.5,1.147700271,1.647700271,4378.736081,5103.084654,5926.105668,1.449897119,1.550102881,1.278937722,1.278937722,1.594594595,1.594594595,0.5,0.100205761
126,0.5,1.147700271,1.647700271,3652.147197,5123.533842,5926.105668,1.488703704,1.790555556,1.276343419,1.276343419,1.594594595,1.594594595,0.5,0.301851852
127,0.5,1.147700271,1.647700271,3643.657321,4888.491001,6433.085584,1.150603567,1.397585734,1.388416884,1.388416884,1.648648649,1.648648649,0.5,0.246982167
128,0.5,1.147700271,1.647700271,3593.492425,6388.892803,5513.361766,1.243600823,1.43159808,1.648360099,1.648360099,1.540540541,1.540540541,0.5,0.187997257
129,0.5,1.147700271,1.647700271,3811.992313,5245.253141,7351.447387,1.255123457,1.404711934,1.252365114,1.252365114,1.72972973,1.72972973,0.5,0.149588477
130,0.5,1.147700271,1.647700271,4047.619146,5070.434031,5382.923622,1.258415638,1.397030178,1.472460041,1.472460041,1.243243243,1.243243243,0.5,0.13861454
131,0.5,1.147700271,1.647700271,3729.153867,5310.730161,11009.57451,1.389540466,1.610459534,1.518211736,1.518211736,1.972972973,1.972972973,0.5,0.220919067
132,0.5,1.147700271,1.647700271,3639.132974,4888.332641,4956.852538,1.071186557,1.359320988,1.397512728,1.397512728,1.405405405,1.405405405,0.5,0.288134431
